@relation atp_matches_2018_ab-weka.filters.unsupervised.attribute.Remove-R1

@attribute surface {Hard,Clay,Grass}
@attribute 0rank numeric
@attribute 1rank numeric
@attribute winner {0rank,1rank}

@data
Clay,5,88,0rank
Clay,11,27,0rank
Clay,7,146,0rank
Clay,63,40,0rank
Clay,15,153,0rank
Clay,10,37,0rank
Clay,140,30,0rank
Clay,1,69,0rank
Clay,11,5,0rank
Clay,63,7,0rank
Clay,10,15,0rank
Clay,1,140,0rank
Clay,63,11,0rank
Clay,1,10,0rank
Clay,1,63,0rank
Clay,92,89,0rank
Clay,143,87,0rank
Clay,61,133,0rank
Clay,79,66,0rank
Clay,100,453,0rank
Clay,55,99,0rank
Clay,57,84,0rank
Clay,104,163,0rank
Clay,159,182,0rank
Clay,134,59,0rank
Clay,74,71,0rank
Clay,94,97,0rank
Clay,92,32,0rank
Clay,61,143,0rank
Clay,79,43,0rank
Clay,55,100,0rank
Clay,57,104,0rank
Clay,159,29,0rank
Clay,134,74,0rank
Clay,94,14,0rank
Clay,92,61,0rank
Clay,55,79,0rank
Clay,57,159,0rank
Clay,94,134,0rank
Clay,92,55,0rank
Clay,94,57,0rank
Clay,92,94,0rank
Clay,93,123,0rank
Clay,206,263,0rank
Clay,65,45,0rank
Clay,64,51,0rank
Clay,153,207,0rank
Clay,79,41,0rank
Clay,68,50,0rank
Clay,143,70,0rank
Clay,111,108,0rank
Clay,103,43,0rank
Clay,77,105,0rank
Clay,44,132,0rank
Clay,11,93,0rank
Clay,65,206,0rank
Clay,64,28,0rank
Clay,153,79,0rank
Clay,68,143,0rank
Clay,23,111,0rank
Clay,77,103,0rank
Clay,44,8,0rank
Clay,11,65,0rank
Clay,64,153,0rank
Clay,68,23,0rank
Clay,44,77,0rank
Clay,64,11,0rank
Clay,68,44,0rank
Clay,68,64,0rank
Clay,100,99,0rank
Clay,92,69,0rank
Clay,87,75,0rank
Clay,114,102,0rank
Clay,121,98,0rank
Clay,71,210,0rank
Clay,76,251,0rank
Clay,186,135,0rank
Clay,110,89,0rank
Clay,84,230,0rank
Clay,131,115,0rank
Clay,78,334,0rank
Clay,100,32,0rank
Clay,87,92,0rank
Clay,114,63,0rank
Clay,121,71,0rank
Clay,76,186,0rank
Clay,110,48,0rank
Clay,84,131,0rank
Clay,78,4,0rank
Clay,87,100,0rank
Clay,114,121,0rank
Clay,110,76,0rank
Clay,78,84,0rank
Clay,114,87,0rank
Clay,78,110,0rank
Clay,114,78,0rank
Clay,193,86,0rank
Clay,54,422,0rank
Clay,34,82,0rank
Clay,73,159,0rank
Clay,61,60,0rank
Clay,59,19,0rank
Clay,90,40,0rank
Clay,122,72,0rank
Clay,163,96,0rank
Clay,119,46,0rank
Clay,62,401,0rank
Clay,118,80,0rank
Clay,14,193,0rank
Clay,34,54,0rank
Clay,73,16,0rank
Clay,61,59,0rank
Clay,122,90,0rank
Clay,22,163,0rank
Clay,62,119,0rank
Clay,3,118,0rank
Clay,34,14,0rank
Clay,73,61,0rank
Clay,22,122,0rank
Clay,3,62,0rank
Clay,34,73,0rank
Clay,3,22,0rank
Clay,3,34,0rank
Clay,90,40,0rank
Clay,37,72,0rank
Clay,45,19,0rank
Clay,47,15,0rank
Clay,42,52,0rank
Clay,59,69,0rank
Clay,24,94,0rank
Clay,43,58,0rank
Clay,50,18,0rank
Clay,12,20,0rank
Clay,22,51,0rank
Clay,44,21,0rank
Clay,96,73,0rank
Clay,28,46,0rank
Clay,14,53,0rank
Clay,29,17,0rank
Clay,95,38,0rank
Clay,32,60,0rank
Clay,78,54,0rank
Clay,65,92,0rank
Clay,35,11,0rank
Clay,16,27,0rank
Clay,30,134,0rank
Clay,41,77,0rank
Clay,3,90,0rank
Clay,45,37,0rank
Clay,47,42,0rank
Clay,9,59,0rank
Clay,24,4,0rank
Clay,43,50,0rank
Clay,22,12,0rank
Clay,10,44,0rank
Clay,8,96,0rank
Clay,28,14,0rank
Clay,95,29,0rank
Clay,6,32,0rank
Clay,7,78,0rank
Clay,35,65,0rank
Clay,16,30,0rank
Clay,1,41,0rank
Clay,3,45,0rank
Clay,9,47,0rank
Clay,43,24,0rank
Clay,22,10,0rank
Clay,8,28,0rank
Clay,95,6,0rank
Clay,7,35,0rank
Clay,1,16,0rank
Clay,3,9,0rank
Clay,43,22,0rank
Clay,8,95,0rank
Clay,7,1,0rank
Clay,3,43,0rank
Clay,7,8,0rank
Clay,3,7,0rank
Clay,103,63,0rank
Clay,19,64,0rank
Clay,16,49,0rank
Clay,10,42,0rank
Clay,73,71,0rank
Clay,43,40,0rank
Clay,57,46,0rank
Clay,52,30,0rank
Clay,15,62,0rank
Clay,11,55,0rank
Clay,48,23,0rank
Clay,65,35,0rank
Clay,41,70,0rank
Clay,74,370,0rank
Clay,18,54,0rank
Clay,14,38,0rank
Clay,28,36,0rank
Clay,24,33,0rank
Clay,21,39,0rank
Clay,140,27,0rank
Clay,53,12,0rank
Clay,29,17,0rank
Clay,44,50,0rank
Clay,31,34,0rank
Clay,3,103,0rank
Clay,19,16,0rank
Clay,10,73,0rank
Clay,6,43,0rank
Clay,5,57,0rank
Clay,52,15,0rank
Clay,11,48,0rank
Clay,65,7,0rank
Clay,41,9,0rank
Clay,18,74,0rank
Clay,28,14,0rank
Clay,24,4,0rank
Clay,21,8,0rank
Clay,53,140,0rank
Clay,29,44,0rank
Clay,2,31,0rank
Clay,3,19,0rank
Clay,10,6,0rank
Clay,5,52,0rank
Clay,11,65,0rank
Clay,18,41,0rank
Clay,24,28,0rank
Clay,21,53,0rank
Clay,2,29,0rank
Clay,3,10,0rank
Clay,5,11,0rank
Clay,18,24,0rank
Clay,2,21,0rank
Clay,3,5,0rank
Clay,2,18,0rank
Clay,2,3,0rank
Clay,204,83,0rank
Clay,55,412,0rank
Clay,82,52,0rank
Clay,49,93,0rank
Clay,281,90,0rank
Clay,51,72,0rank
Clay,60,36,0rank
Clay,61,56,0rank
Clay,57,98,0rank
Clay,47,95,0rank
Clay,286,79,0rank
Clay,81,249,0rank
Clay,19,204,0rank
Clay,55,82,0rank
Clay,49,42,0rank
Clay,51,281,0rank
Clay,60,61,0rank
Clay,25,57,0rank
Clay,47,286,0rank
Clay,81,13,0rank
Clay,19,55,0rank
Clay,49,51,0rank
Clay,60,25,0rank
Clay,47,81,0rank
Clay,49,19,0rank
Clay,60,47,0rank
Clay,60,49,0rank
Clay,97,66,0rank
Clay,102,266,0rank
Clay,69,38,0rank
Clay,75,410,0rank
Clay,91,196,0rank
Clay,335,84,0rank
Clay,334,48,0rank
Clay,68,101,0rank
Clay,70,73,0rank
Clay,71,27,0rank
Clay,127,143,0rank
Clay,77,103,0rank
Clay,10,97,0rank
Clay,102,69,0rank
Clay,75,351,0rank
Clay,91,335,0rank
Clay,68,334,0rank
Clay,70,15,0rank
Clay,71,127,0rank
Clay,8,77,0rank
Clay,102,10,0rank
Clay,75,91,0rank
Clay,68,70,0rank
Clay,8,71,0rank
Clay,75,102,0rank
Clay,8,68,0rank
Clay,8,75,0rank
Clay,1,129,0rank
Clay,78,49,0rank
Clay,63,98,0rank
Clay,32,50,0rank
Clay,25,59,0rank
Clay,70,56,0rank
Clay,110,93,0rank
Clay,136,14,0rank
Clay,12,130,0rank
Clay,185,81,0rank
Clay,115,73,0rank
Clay,40,24,0rank
Clay,127,33,0rank
Clay,64,90,0rank
Clay,75,66,0rank
Clay,7,74,0rank
Clay,4,1072,0rank
Clay,188,54,0rank
Clay,71,79,0rank
Clay,46,26,0rank
Clay,18,128,0rank
Clay,122,104,0rank
Clay,45,88,0rank
Clay,17,105,0rank
Clay,10,173,0rank
Clay,103,48,0rank
Clay,87,124,0rank
Clay,86,20,0rank
Clay,36,83,0rank
Clay,157,91,0rank
Clay,62,42,0rank
Clay,6,116,0rank
Clay,9,44,0rank
Clay,141,92,0rank
Clay,117,101,0rank
Clay,37,306,0rank
Clay,190,206,0rank
Clay,72,94,0rank
Clay,69,278,0rank
Clay,11,146,0rank
Clay,13,100,0rank
Clay,315,84,0rank
Clay,155,41,0rank
Clay,22,134,0rank
Clay,35,266,0rank
Clay,108,68,0rank
Clay,57,61,0rank
Clay,5,182,0rank
Clay,8,119,0rank
Clay,39,213,0rank
Clay,96,156,0rank
Clay,160,34,0rank
Clay,21,307,0rank
Clay,51,76,0rank
Clay,65,77,0rank
Clay,15,58,0rank
Clay,16,53,0rank
Clay,85,43,0rank
Clay,38,412,0rank
Clay,67,30,0rank
Clay,29,113,0rank
Clay,97,197,0rank
Clay,60,80,0rank
Clay,3,102,0rank
Clay,1,78,0rank
Clay,32,63,0rank
Clay,70,25,0rank
Clay,136,110,0rank
Clay,12,185,0rank
Clay,40,115,0rank
Clay,64,127,0rank
Clay,7,75,0rank
Clay,4,188,0rank
Clay,46,71,0rank
Clay,18,122,0rank
Clay,17,45,0rank
Clay,10,103,0rank
Clay,87,86,0rank
Clay,36,157,0rank
Clay,6,62,0rank
Clay,9,141,0rank
Clay,37,117,0rank
Clay,72,190,0rank
Clay,11,69,0rank
Clay,13,315,0rank
Clay,22,155,0rank
Clay,35,108,0rank
Clay,5,57,0rank
Clay,8,39,0rank
Clay,96,160,0rank
Clay,21,51,0rank
Clay,65,15,0rank
Clay,16,85,0rank
Clay,38,67,0rank
Clay,29,97,0rank
Clay,3,60,0rank
Clay,1,32,0rank
Clay,70,136,0rank
Clay,12,40,0rank
Clay,7,64,0rank
Clay,4,46,0rank
Clay,18,17,0rank
Clay,10,87,0rank
Clay,6,36,0rank
Clay,9,37,0rank
Clay,72,11,0rank
Clay,22,13,0rank
Clay,35,5,0rank
Clay,8,96,0rank
Clay,21,65,0rank
Clay,38,16,0rank
Clay,3,29,0rank
Clay,1,70,0rank
Clay,12,7,0rank
Clay,4,18,0rank
Clay,6,10,0rank
Clay,72,9,0rank
Clay,22,35,0rank
Clay,8,21,0rank
Clay,3,38,0rank
Clay,1,12,0rank
Clay,4,6,1rank
Clay,22,72,1rank
Clay,3,8,1rank
Clay,6,1,1rank
Clay,72,8,1rank
Clay,8,1,1rank
Grass,350,76,1rank
Grass,214,61,1rank
Grass,196,37,1rank
Grass,84,52,1rank
Grass,165,181,1rank
Grass,90,44,1rank
Grass,87,53,1rank
Grass,70,97,1rank
Grass,125,69,1rank
Grass,49,110,1rank
Grass,88,176,1rank
Grass,68,72,1rank
Grass,76,30,1rank
Grass,61,37,1rank
Grass,52,34,1rank
Grass,44,181,1rank
Grass,53,97,1rank
Grass,32,69,1rank
Grass,176,110,1rank
Grass,25,72,1rank
Grass,37,30,1rank
Grass,34,181,1rank
Grass,97,69,1rank
Grass,110,72,1rank
Grass,181,30,1rank
Grass,69,72,1rank
Grass,72,30,1rank
Grass,65,303,1rank
Grass,135,85,1rank
Grass,22,100,1rank
Grass,67,47,1rank
Grass,112,46,1rank
Grass,78,35,1rank
Grass,91,33,1rank
Grass,281,55,1rank
Grass,180,50,1rank
Grass,23,169,1rank
Grass,64,75,1rank
Grass,93,54,1rank
Grass,303,17,1rank
Grass,85,100,1rank
Grass,47,19,1rank
Grass,46,35,1rank
Grass,55,33,1rank
Grass,50,24,1rank
Grass,169,75,1rank
Grass,54,2,1rank
Grass,100,17,1rank
Grass,19,35,1rank
Grass,33,24,1rank
Grass,75,2,1rank
Grass,17,35,1rank
Grass,24,2,1rank
Grass,35,2,1rank
Grass,3,34,1rank
Grass,286,85,1rank
Grass,81,50,1rank
Grass,25,82,1rank
Grass,67,16,1rank
Grass,47,43,1rank
Grass,65,36,1rank
Grass,159,27,1rank
Grass,18,35,1rank
Grass,96,109,1rank
Grass,49,52,1rank
Grass,94,7,1rank
Grass,45,24,1rank
Grass,59,60,1rank
Grass,44,48,1rank
Grass,72,1,1rank
Grass,85,34,1rank
Grass,82,50,1rank
Grass,43,16,1rank
Grass,27,36,1rank
Grass,35,109,1rank
Grass,7,52,1rank
Grass,24,60,1rank
Grass,48,1,1rank
Grass,50,34,1rank
Grass,36,16,1rank
Grass,52,109,1rank
Grass,60,1,1rank
Grass,16,34,1rank
Grass,109,1,1rank
Grass,1,34,1rank
Grass,29,5,1rank
Grass,63,22,1rank
Grass,340,26,1rank
Grass,19,66,1rank
Grass,8,38,1rank
Grass,55,62,1rank
Grass,121,61,1rank
Grass,14,53,1rank
Grass,58,17,1rank
Grass,156,21,1rank
Grass,84,31,1rank
Grass,9,37,1rank
Grass,223,13,1rank
Grass,80,261,1rank
Grass,23,46,1rank
Grass,33,6,1rank
Grass,5,22,1rank
Grass,66,26,1rank
Grass,38,62,1rank
Grass,53,61,1rank
Grass,17,21,1rank
Grass,31,37,1rank
Grass,261,13,1rank
Grass,46,6,1rank
Grass,26,22,1rank
Grass,62,61,1rank
Grass,37,21,1rank
Grass,13,6,1rank
Grass,61,22,1rank
Grass,21,6,1rank
Grass,22,6,1rank
Grass,247,95,1rank
Grass,81,75,1rank
Grass,72,45,1rank
Grass,99,103,1rank
Grass,74,76,1rank
Grass,301,57,1rank
Grass,100,44,1rank
Grass,87,69,1rank
Grass,84,176,1rank
Grass,89,47,1rank
Grass,86,78,1rank
Grass,82,96,1rank
Grass,95,30,1rank
Grass,45,75,1rank
Grass,33,103,1rank
Grass,57,76,1rank
Grass,44,69,1rank
Grass,176,41,1rank
Grass,78,47,1rank
Grass,96,24,1rank
Grass,75,30,1rank
Grass,76,103,1rank
Grass,69,41,1rank
Grass,47,24,1rank
Grass,103,30,1rank
Grass,41,24,1rank
Grass,24,30,1rank
Grass,225,156,1rank
Grass,77,90,1rank
Grass,80,38,1rank
Grass,68,54,1rank
Grass,66,67,1rank
Grass,59,42,1rank
Grass,53,36,1rank
Grass,60,62,1rank
Grass,43,91,1rank
Grass,316,79,1rank
Grass,58,236,1rank
Grass,244,94,1rank
Grass,156,18,1rank
Grass,38,90,1rank
Grass,54,26,1rank
Grass,42,67,1rank
Grass,36,62,1rank
Grass,91,31,1rank
Grass,236,79,1rank
Grass,11,94,1rank
Grass,18,90,1rank
Grass,26,67,1rank
Grass,62,31,1rank
Grass,79,94,1rank
Grass,90,67,1rank
Grass,31,94,1rank
Grass,94,67,1rank
Grass,58,2,1rank
Grass,284,73,1rank
Grass,102,112,1rank
Grass,36,64,1rank
Grass,167,26,1rank
Grass,79,59,1rank
Grass,118,65,1rank
Grass,20,67,1rank
Grass,101,13,1rank
Grass,45,109,1rank
Grass,90,86,1rank
Grass,31,44,1rank
Grass,83,27,1rank
Grass,119,60,1rank
Grass,211,50,1rank
Grass,190,8,1rank
Grass,256,5,1rank
Grass,147,82,1rank
Grass,96,103,1rank
Grass,30,66,1rank
Grass,84,19,1rank
Grass,110,171,1rank
Grass,137,56,1rank
Grass,173,32,1rank
Grass,134,10,1rank
Grass,42,104,1rank
Grass,75,71,1rank
Grass,12,98,1rank
Grass,188,35,1rank
Grass,61,54,1rank
Grass,85,133,1rank
Grass,6,224,1rank
Grass,7,95,1rank
Grass,37,40,1rank
Grass,49,63,1rank
Grass,34,52,1rank
Grass,204,17,1rank
Grass,69,168,1rank
Grass,105,126,1rank
Grass,57,21,1rank
Grass,92,18,1rank
Grass,94,43,1rank
Grass,122,184,1rank
Grass,198,28,1rank
Grass,48,23,1rank
Grass,218,138,1rank
Grass,121,68,1rank
Grass,748,3,1rank
Grass,39,4,1rank
Grass,88,70,1rank
Grass,155,47,1rank
Grass,46,25,1rank
Grass,15,81,1rank
Grass,74,53,1rank
Grass,38,158,1rank
Grass,9,51,1rank
Grass,78,11,1rank
Grass,91,93,1rank
Grass,76,154,1rank
Grass,87,16,1rank
Grass,29,80,1rank
Grass,41,72,1rank
Grass,97,77,1rank
Grass,127,1,1rank
Grass,73,2,1rank
Grass,112,64,1rank
Grass,59,26,1rank
Grass,65,67,1rank
Grass,109,13,1rank
Grass,86,44,1rank
Grass,60,27,1rank
Grass,50,8,1rank
Grass,5,82,1rank
Grass,66,103,1rank
Grass,19,171,1rank
Grass,56,32,1rank
Grass,104,10,1rank
Grass,71,98,1rank
Grass,54,35,1rank
Grass,224,133,1rank
Grass,95,40,1rank
Grass,63,52,1rank
Grass,168,17,1rank
Grass,126,21,1rank
Grass,43,18,1rank
Grass,184,28,1rank
Grass,23,138,1rank
Grass,68,3,1rank
Grass,70,4,1rank
Grass,25,47,1rank
Grass,81,53,1rank
Grass,158,51,1rank
Grass,11,93,1rank
Grass,154,16,1rank
Grass,72,80,1rank
Grass,77,1,1rank
Grass,64,2,1rank
Grass,67,26,1rank
Grass,13,44,1rank
Grass,27,8,1rank
Grass,82,103,1rank
Grass,171,32,1rank
Grass,98,10,1rank
Grass,133,35,1rank
Grass,52,40,1rank
Grass,17,21,1rank
Grass,18,28,1rank
Grass,3,138,1rank
Grass,47,4,1rank
Grass,51,53,1rank
Grass,16,93,1rank
Grass,80,1,1rank
Grass,26,2,1rank
Grass,44,8,1rank
Grass,103,32,1rank
Grass,35,10,1rank
Grass,40,21,1rank
Grass,138,28,1rank
Grass,53,4,1rank
Grass,93,1,1rank
Grass,2,8,1rank
Grass,32,10,1rank
Grass,28,21,1rank
Grass,4,1,1rank
Grass,10,8,1rank
Grass,1,21,1rank
Grass,8,21,1rank
Clay,111,145,1rank
Clay,93,136,1rank
Clay,118,33,1rank
Clay,91,337,1rank
Clay,120,87,1rank
Clay,104,52,1rank
Clay,221,39,1rank
Clay,90,147,1rank
Clay,117,115,1rank
Clay,36,75,1rank
Clay,137,148,1rank
Clay,78,153,1rank
Clay,145,13,1rank
Clay,136,33,1rank
Clay,337,15,1rank
Clay,52,87,1rank
Clay,39,147,1rank
Clay,115,29,1rank
Clay,75,148,1rank
Clay,12,153,1rank
Clay,13,33,1rank
Clay,87,15,1rank
Clay,147,29,1rank
Clay,153,148,1rank
Clay,33,15,1rank
Clay,148,29,1rank
Clay,29,15,1rank
Grass,232,98,1rank
Grass,198,161,1rank
Grass,113,86,1rank
Grass,133,123,1rank
Grass,116,131,1rank
Grass,55,134,1rank
Grass,68,110,1rank
Grass,155,156,1rank
Grass,176,208,1rank
Grass,96,95,1rank
Grass,289,124,1rank
Grass,663,101,1rank
Grass,47,98,1rank
Grass,86,161,1rank
Grass,43,123,1rank
Grass,134,131,1rank
Grass,110,156,1rank
Grass,208,48,1rank
Grass,95,124,1rank
Grass,101,26,1rank
Grass,98,161,1rank
Grass,131,123,1rank
Grass,156,48,1rank
Grass,26,124,1rank
Grass,123,161,1rank
Grass,124,48,1rank
Grass,161,48,1rank
Clay,88,83,1rank
Clay,350,188,1rank
Clay,54,51,1rank
Clay,141,73,1rank
Clay,74,100,1rank
Clay,193,49,1rank
Clay,138,38,1rank
Clay,69,127,1rank
Clay,157,144,1rank
Clay,44,81,1rank
Clay,89,72,1rank
Clay,82,66,1rank
Clay,23,83,1rank
Clay,51,188,1rank
Clay,73,27,1rank
Clay,49,100,1rank
Clay,127,38,1rank
Clay,144,35,1rank
Clay,81,72,1rank
Clay,41,66,1rank
Clay,83,188,1rank
Clay,100,27,1rank
Clay,35,38,1rank
Clay,66,72,1rank
Clay,188,27,1rank
Clay,38,72,1rank
Clay,72,27,1rank
Hard,172,164,1rank
Hard,60,73,1rank
Hard,96,43,1rank
Hard,115,65,1rank
Hard,186,71,1rank
Hard,660,53,1rank
Hard,93,42,1rank
Hard,169,95,1rank
Hard,117,230,1rank
Hard,102,45,1rank
Hard,1032,105,1rank
Hard,125,68,1rank
Hard,164,18,1rank
Hard,43,73,1rank
Hard,65,23,1rank
Hard,71,53,1rank
Hard,42,95,1rank
Hard,230,55,1rank
Hard,105,45,1rank
Hard,68,9,1rank
Hard,18,73,1rank
Hard,23,53,1rank
Hard,95,55,1rank
Hard,45,9,1rank
Hard,73,53,1rank
Hard,55,9,1rank
Hard,53,9,1rank
Clay,149,89,1rank
Clay,111,88,1rank
Clay,67,75,1rank
Clay,90,101,1rank
Clay,118,139,1rank
Clay,38,267,1rank
Clay,82,66,1rank
Clay,109,314,1rank
Clay,97,84,1rank
Clay,41,177,1rank
Clay,661,402,1rank
Clay,99,107,1rank
Clay,89,17,1rank
Clay,75,88,1rank
Clay,21,101,1rank
Clay,139,267,1rank
Clay,314,66,1rank
Clay,46,84,1rank
Clay,402,177,1rank
Clay,14,107,1rank
Clay,88,17,1rank
Clay,267,101,1rank
Clay,66,84,1rank
Clay,177,107,1rank
Clay,101,17,1rank
Clay,107,84,1rank
Clay,17,84,1rank
Clay,141,12,1rank
Clay,47,349,1rank
Clay,40,36,1rank
Clay,22,37,1rank
Clay,24,113,1rank
Clay,62,272,1rank
Clay,39,146,1rank
Clay,63,33,1rank
Clay,25,81,1rank
Clay,49,72,1rank
Clay,135,80,1rank
Clay,94,13,1rank
Clay,52,28,1rank
Clay,44,69,1rank
Clay,51,50,1rank
Clay,119,8,1rank
Clay,349,12,1rank
Clay,37,36,1rank
Clay,272,113,1rank
Clay,33,146,1rank
Clay,72,81,1rank
Clay,80,13,1rank
Clay,28,69,1rank
Clay,50,8,1rank
Clay,12,36,1rank
Clay,146,113,1rank
Clay,13,81,1rank
Clay,8,69,1rank
Clay,113,36,1rank
Clay,69,81,1rank
Clay,36,81,1rank
Hard,104,150,1rank
Hard,127,247,1rank
Hard,164,65,1rank
Hard,113,108,1rank
Hard,177,74,1rank
Hard,173,69,1rank
Hard,176,122,1rank
Hard,195,121,1rank
Hard,451,106,1rank
Hard,693,28,1rank
Hard,153,301,1rank
Hard,145,446,1rank
Hard,150,15,1rank
Hard,65,247,1rank
Hard,108,25,1rank
Hard,69,74,1rank
Hard,122,121,1rank
Hard,106,24,1rank
Hard,28,301,1rank
Hard,446,4,1rank
Hard,247,15,1rank
Hard,25,74,1rank
Hard,121,24,1rank
Hard,301,4,1rank
Hard,74,15,1rank
Hard,24,4,1rank
Hard,4,15,1rank
Clay,107,95,1rank
Clay,109,87,1rank
Clay,96,47,1rank
Clay,84,53,1rank
Clay,82,98,1rank
Clay,40,54,1rank
Clay,56,81,1rank
Clay,35,90,1rank
Clay,135,88,1rank
Clay,71,66,1rank
Clay,268,136,1rank
Clay,157,112,1rank
Clay,29,95,1rank
Clay,87,47,1rank
Clay,33,53,1rank
Clay,98,54,1rank
Clay,90,81,1rank
Clay,38,88,1rank
Clay,136,66,1rank
Clay,8,112,1rank
Clay,47,95,1rank
Clay,54,53,1rank
Clay,81,88,1rank
Clay,66,112,1rank
Clay,53,95,1rank
Clay,88,112,1rank
Clay,95,112,1rank
Hard,102,152,1rank
Hard,166,256,1rank
Hard,75,85,1rank
Hard,73,291,1rank
Hard,80,832,1rank
Hard,83,93,1rank
Hard,92,72,1rank
Hard,55,91,1rank
Hard,393,654,1rank
Hard,97,62,1rank
Hard,126,120,1rank
Hard,217,78,1rank
Hard,198,234,1rank
Hard,287,63,1rank
Hard,94,101,1rank
Hard,76,64,1rank
Hard,9,152,1rank
Hard,256,46,1rank
Hard,37,85,1rank
Hard,291,19,1rank
Hard,18,832,1rank
Hard,43,93,1rank
Hard,34,72,1rank
Hard,91,23,1rank
Hard,105,654,1rank
Hard,62,32,1rank
Hard,120,41,1rank
Hard,78,11,1rank
Hard,234,20,1rank
Hard,63,26,1rank
Hard,101,42,1rank
Hard,64,3,1rank
Hard,152,46,1rank
Hard,19,85,1rank
Hard,93,832,1rank
Hard,23,72,1rank
Hard,654,32,1rank
Hard,41,11,1rank
Hard,26,20,1rank
Hard,42,3,1rank
Hard,85,46,1rank
Hard,832,72,1rank
Hard,11,32,1rank
Hard,20,3,1rank
Hard,46,72,1rank
Hard,32,3,1rank
Hard,72,3,1rank
Hard,69,116,1rank
Hard,18,133,1rank
Hard,19,68,1rank
Hard,84,10,1rank
Hard,52,121,1rank
Hard,24,27,1rank
Hard,37,87,1rank
Hard,74,125,1rank
Hard,83,57,1rank
Hard,11,29,1rank
Hard,21,41,1rank
Hard,48,31,1rank
Hard,40,80,1rank
Hard,30,38,1rank
Hard,206,13,1rank
Hard,33,14,1rank
Hard,46,26,1rank
Hard,22,39,1rank
Hard,94,20,1rank
Hard,25,32,1rank
Hard,16,12,1rank
Hard,17,195,1rank
Hard,63,51,1rank
Hard,62,55,1rank
Hard,116,3,1rank
Hard,133,68,1rank
Hard,121,10,1rank
Hard,8,27,1rank
Hard,87,6,1rank
Hard,57,125,1rank
Hard,29,41,1rank
Hard,31,5,1rank
Hard,80,9,1rank
Hard,13,38,1rank
Hard,14,26,1rank
Hard,104,39,1rank
Hard,20,7,1rank
Hard,32,12,1rank
Hard,51,195,1rank
Hard,55,1,1rank
Hard,68,3,1rank
Hard,10,27,1rank
Hard,125,6,1rank
Hard,41,5,1rank
Hard,9,38,1rank
Hard,26,39,1rank
Hard,12,7,1rank
Hard,195,1,1rank
Hard,3,27,1rank
Hard,5,6,1rank
Hard,39,38,1rank
Hard,7,1,1rank
Hard,6,27,1rank
Hard,38,1,1rank
Hard,27,1,1rank
Hard,61,47,1rank
Hard,133,50,1rank
Hard,375,17,1rank
Hard,12,151,1rank
Hard,37,23,1rank
Hard,114,48,1rank
Hard,20,25,1rank
Hard,56,21,1rank
Hard,77,18,1rank
Hard,15,11,1rank
Hard,79,57,1rank
Hard,30,46,1rank
Hard,35,92,1rank
Hard,41,27,1rank
Hard,9,34,1rank
Hard,26,13,1rank
Hard,45,102,1rank
Hard,31,55,1rank
Hard,24,44,1rank
Hard,22,28,1rank
Hard,33,10,1rank
Hard,81,16,1rank
Hard,38,32,1rank
Hard,64,29,1rank
Hard,47,2,1rank
Hard,17,50,1rank
Hard,23,151,1rank
Hard,71,48,1rank
Hard,25,3,1rank
Hard,21,18,1rank
Hard,57,11,1rank
Hard,46,6,1rank
Hard,92,7,1rank
Hard,34,27,1rank
Hard,102,13,1rank
Hard,4,55,1rank
Hard,44,5,1rank
Hard,28,10,1rank
Hard,16,32,1rank
Hard,60,29,1rank
Hard,50,2,1rank
Hard,48,151,1rank
Hard,18,3,1rank
Hard,6,11,1rank
Hard,27,7,1rank
Hard,55,13,1rank
Hard,5,10,1rank
Hard,32,29,1rank
Hard,151,2,1rank
Hard,3,11,1rank
Hard,13,7,1rank
Hard,29,10,1rank
Hard,11,2,1rank
Hard,7,10,1rank
Hard,2,10,1rank
Hard,74,385,1rank
Hard,77,149,1rank
Hard,58,60,1rank
Hard,92,69,1rank
Hard,93,41,1rank
Hard,65,89,1rank
Hard,263,85,1rank
Hard,90,392,1rank
Hard,104,61,1rank
Hard,54,76,1rank
Hard,67,50,1rank
Hard,55,52,1rank
Hard,59,70,1rank
Hard,497,56,1rank
Hard,81,57,1rank
Hard,40,118,1rank
Hard,385,12,1rank
Hard,149,45,1rank
Hard,36,60,1rank
Hard,69,23,1rank
Hard,41,16,1rank
Hard,51,89,1rank
Hard,37,85,1rank
Hard,392,34,1rank
Hard,61,243,1rank
Hard,35,76,1rank
Hard,50,47,1rank
Hard,22,52,1rank
Hard,70,32,1rank
Hard,39,56,1rank
Hard,43,57,1rank
Hard,96,118,1rank
Hard,45,12,1rank
Hard,60,23,1rank
Hard,89,16,1rank
Hard,85,34,1rank
Hard,243,76,1rank
Hard,52,47,1rank
Hard,32,56,1rank
Hard,118,57,1rank
Hard,23,12,1rank
Hard,16,34,1rank
Hard,47,76,1rank
Hard,56,57,1rank
Hard,12,34,1rank
Hard,76,57,1rank
Hard,34,57,1rank
Hard,148,1,1rank
Hard,77,88,1rank
Hard,127,121,1rank
Hard,52,26,1rank
Hard,113,18,1rank
Hard,78,37,1rank
Hard,143,66,1rank
Hard,16,94,1rank
Hard,81,9,1rank
Hard,76,31,1rank
Hard,48,74,1rank
Hard,22,98,1rank
Hard,117,28,1rank
Hard,35,51,1rank
Hard,38,46,1rank
Hard,53,5,1rank
Hard,246,3,1rank
Hard,57,72,1rank
Hard,448,382,1rank
Hard,63,32,1rank
Hard,193,20,1rank
Hard,267,97,1rank
Hard,80,36,1rank
